"nameWithOwner","description","tag"
"cjlmonster/PopupDialog","仿iOS底部弹出对话框","[]"
"Hefountain/passwordManager","iOS项目——密码管理工具","[]"
"9drops/UIButton-LargerHitArea","UIButton category，增大UIButton点击响应区域，针对iOS UIButton较小难以点中的情况","[""uibutton""]"
"udesk/UdeskSDK-iOS","UdeskSDK-iOS","[]"
"swigger/gdb-ios","GNU Debugger for jail broken IOS on arm64","[""ios"",""arm64"",""debugger"",""gnu"",""for"",""on""]"
"iAugux/Phonetic","An iOS App to generate phonetic keys for your Chinese contacts. Written in Swift.","[""ios"",""app"",""ios-app"",""chinese"",""generate"",""for"",""in"",""to"",""an"",""phonetic"",""phonetic-keys""]"
"MLSDev/TRON","Lightweight network abstraction layer, written on top of Alamofire","[""alamofire"",""network"",""lightweight"",""abstraction"",""on"",""top""]"
"minggo620/iOSObserving","iOS观察者模式","[]"
"City-of-Helsinki/open-city-app","Mobile app for open cities built with React Native","[""mobile"",""react-native"",""native"",""app"",""react"",""mobile-app"",""open"",""for"",""cities"",""with""]"
"Netfilter-Com/PopulationClock","Population Clock is an iOS tool for learning about geography and demographics.","[""ios"",""clock"",""learning"",""tool"",""about"",""for"",""and"",""an""]"
"lettleprince/XcodeSnippets","MyCodeSnippet","[]"
"gitzxon/MyBluetoothDemo","Getting the phone book from another phone via bluetooth with the PBAP(PhoneBookAccessProfile). The os of the remote phone can be android or ios. ","[""android"",""bluetooth"",""phone"",""remote"",""book"",""os"",""can"",""with"",""from"",""the""]"
"huihoo/opencloud-ios","一个开放云存储App ","[]"
"altaywtf/bilgi-shuttle-ios","iOS Application of Bilgi Shuttle, built with React Native.","[""ios"",""react"",""application"",""with"",""ios-application""]"
"voudeonibus/vdb-ios","Vou de ônibus iOS - DEPRECATED","[""ios"",""deprecated"",""de""]"
"sureshballa/firebasexamarin","Firebase integration with Xamarin iOS","[""ios"",""xamarin"",""firebase"",""integration"",""xamarin-ios"",""with""]"
"lavkannan/ReadMusic","An iOS app that teaches to sight-read music notes!","[""ios"",""music"",""app"",""ios-app"",""to"",""an""]"
"fumiyasac/nifty_cloud_spa","[ING]Nifty CloudのMobile Backendを利用したサンプルアプリケーション（iOS Sample Study: Swift）","[""sample""]"
"CxDtreeg/QRScanDemo","一个提供了最基本的扫描界面和iOS原生二维码(条形码)解析的ViewController","[]"
"wangyingbo/CodeObfuscation","iOS中的代码混淆，需要手动添加方法名，实现代码混淆。","[]"
"VPNht/ios","VPN Client iOS","[""ios"",""vpn"",""client"",""vpn-client""]"
"fossasia/open-event-attendee-ios","iOS app for open event","[""ios"",""app"",""ios-app"",""event"",""open"",""for""]"
"500px/greedo-layout-for-ios","Full aspect ratio grid layout for iOS","[""ios"",""layout"",""grid-layout"",""grid"",""aspect-ratio"",""for"",""ratio"",""full""]"
"TreeHacks/hackpack-ios","An intro to iOS development in Swift","[""swift"",""ios"",""intro"",""development"",""in"",""to"",""ios-development"",""an""]"
"ijoshsmith/abandoned-strings","Command line program that detects unused resource strings in an iOS or OS X application.","[""ios"",""line"",""command-line"",""command"",""os"",""resource"",""strings"",""in"",""x"",""an"",""program"",""unused""]"
"tapglue/elements-ios","Elements is a library of native social network user interface components for Tapglue.","[""interface"",""native"",""user-interface"",""components"",""library"",""network"",""social-network"",""social"",""for"",""user"",""elements"",""a""]"
"herrkaefer/CaseAssistant","Sources of iOS app 眼科行医手记 (CaseAssistant) using swift","[""swift"",""ios"",""app"",""ios-app"",""using""]"
"nst/CrashReports","Symbolicate iOS crash reports","[""ios"",""crash"",""crash-reports"",""reports"",""ios-crash"",""symbolicate""]"
"ssldhl/iSwiftRTC","A swift application capable of streaming video of camera in iOS devices to web using WebRTC","[""swift"",""ios"",""video"",""camera"",""web"",""webrtc"",""streaming"",""application"",""streaming-video"",""ios-devices"",""in"",""devices"",""to"",""using"",""a"",""swift-application""]"
"CiscoDevNet/grpc-getting-started","Guide to get started with gRPC in Cisco IOS XR","[""ios"",""get"",""grpc"",""guide"",""with"",""in"",""cisco-ios"",""xr"",""to"",""cisco"",""cisco-ios-xr"",""ios-xr""]"
"FXSolutions/FXFTPServer","FTP Server for iOS ","[""ios"",""server"",""ftp"",""for"",""ftp-server""]"
"raweng/NewsApp-iOS","Sample News app (in Swift) using Contentstack SDK.","[""app"",""sample"",""news"",""news-app"",""using"",""sample-news""]"
"giomurru/opencv-facerec-tutorial-ios","Face Recognition OpenCV Tutorial","[""opencv"",""face-recognition"",""face"",""tutorial"",""recognition"",""opencv-tutorial""]"
"wlcdesigns/iOS-WP-OAuth","This is an Xcode tutorial covering how to use OAuth2 to login to a self hosted WordPress installation","[""xcode"",""installation"",""wordpress"",""this"",""self"",""login"",""oauth2"",""tutorial"",""self-hosted"",""to"",""hosted"",""a"",""how"",""how-to"",""an""]"
"sunJ1nquan/iOS-H5","iOS原生与H5交互","[]"
"cisco/xr-telemetry-m2m-lib","Libraries for interacting with the IOS-XR M2M service.","[""libraries"",""for"",""with"",""the"",""ios-xr"",""m2m""]"
"gfogle/multi-platform-react","Sharing of React code across Web, iOS, Android, Electron as Hello World example","[""sharing"",""react"",""electron"",""example"",""code"",""as"",""hello"",""world"",""hello-world""]"
"JohnGoodstadt/mobileSyncIOS","A Design Pattern for Mobile Co-Operation - Sample Code","[""mobile"",""design"",""sample"",""pattern"",""for"",""design-pattern"",""sample-code"",""code"",""a""]"
"sujithv28/Tesseract-ImageToText-iOS","Basic iOS application to test text recognition in images using Google's Tesseract OCR","[""ios"",""text"",""ocr"",""tesseract"",""text-recognition"",""basic"",""images"",""application"",""recognition"",""test"",""tesseract-ocr"",""in"",""to"",""ios-application"",""using""]"
"JonLz/gif-memory-game","GIF Memory Game to teach some iOS building blocks","[""ios"",""memory"",""gif"",""game"",""memory-game"",""building"",""to"",""blocks"",""some"",""teach""]"
"ovh/swift-ovh","This Swift package is a lightweight wrapper for OVH APIs. That's the easiest way to use OVH.com APIs in your Swift applications. Apple platforms supported: iOS, OSX, tvOS, watchOS.","[""swift"",""package"",""this"",""apple"",""apis"",""wrapper"",""lightweight"",""for"",""in"",""the"",""to"",""a"",""easiest"",""swift-package"",""apple-platforms""]"
"yangyujun/ScrollLabel"," IOS 设置消息上下滚动，消息循环滚动视图","[""ios""]"
"euskadi31/glide-objc","Glide client for iOS & Mac OS X","[""ios"",""client"",""mac"",""glide"",""os"",""for"",""x"",""mac-os""]"
"notlose/react-native-spring-dropdown","Simple drop down plugin for both android and ios","[""ios"",""android"",""simple"",""plugin"",""drop"",""for"",""down"",""drop-down"",""and""]"
"trulyronak/imedici","Experience the Renaissance like never before. Now on your iPhone","[""iphone"",""like"",""the"",""on"",""now""]"
"Jesse-calkin/Airplay-Display","Simple project demonstrating the use of multiple UIScreens to display separate view controllers for an iOS device and remote screen(Airplay).","[""ios"",""view"",""display"",""project"",""device"",""simple"",""remote"",""multiple"",""for"",""the"",""to"",""and"",""an"",""ios-device""]"
"apan06/UniversalLinks","Simple app with UIWebView and WKWebView that shows links to twitter.com. It is expected that both components will use universal links introduced in iOS 9 to show Twitter app installed.","[""ios"",""universal"",""uiwebview"",""twitter"",""wkwebview"",""components"",""app"",""simple"",""universal-links"",""links"",""it"",""with"",""in"",""show"",""shows"",""to"",""simple-app"",""and"",""will"",""ios-9""]"
"nomtek/spherical_video_player_ios","iOS project showing how to build a simple player for video 360°.","[""ios"",""video"",""build"",""project"",""player"",""simple"",""for"",""to"",""a"",""how"",""how-to"",""ios-project""]"
"freesuraj/SPTinderView","Tinder clone for iOS","[""ios"",""clone"",""tinder"",""for"",""tinder-clone""]"
"kasumar/TweakForWeChatRedEnvelop","iOS微信自动抢红包&防撤回插件","[]"
"lvzixun/dump_ios_backup","dump ios domain file from itunes backup","[""ios"",""itunes"",""file"",""backup"",""dump"",""from"",""domain"",""itunes-backup""]"
"poberwong/react-native-navigationbar","a navigationBar provided for iOS/Android","[""navigationbar"",""for"",""a""]"
"ydcool/ProgressImageView","An iOS style progress ImageView for Android.","[""ios"",""imageview"",""progress"",""style"",""for"",""ios-style"",""an""]"
"NikolaBozhkov/TileSmash-iOS","A personal project game for iOS, currently in the App Store -> https://itunes.apple.com/us/app/tile-smash/id982528563?mt=8","[""app-store"",""project"",""store"",""app"",""game"",""for"",""personal"",""in"",""the"",""personal-project"",""a""]"
"hyperoslo/OhMyAuth",":closed_lock_with_key: Simple OAuth2 library with a support of multiple services.","[""library"",""simple"",""oauth2"",""multiple"",""with"",""support"",""a""]"
"RxSugar/RxSugar","Simple RxSwift extensions for interacting with Apple APIs","[""simple"",""apple"",""apis"",""for"",""with"",""extensions"",""rxswift"",""rxswift-extensions"",""apple-apis""]"
"lionheart/LionheartExtensions","An invaluable collection of Swift extensions and utilities for iOS.","[""swift"",""swift-extensions"",""utilities"",""for"",""collection"",""extensions"",""and"",""an""]"
"sieren/ioxaudio","A Traybar Monitor to establish Audio Connections with iOS Devices on OS X","[""ios"",""audio"",""monitor"",""os"",""ios-devices"",""with"",""devices"",""to"",""x"",""on"",""a""]"
"cisco/xr-telemetry-m2m-web","A small web app to explore the IOS-XR internal data model, for streaming telemetry or other automation uses","[""web"",""automation"",""app"",""streaming"",""web-app"",""data"",""for"",""telemetry"",""small"",""the"",""to"",""a"",""internal"",""ios-xr"",""streaming-telemetry"",""explore"",""other""]"
"dweinstein/node-itms-services","itms services asset downloader for apple iOS ad hoc distribution builds","[""ios"",""ad-hoc-distribution"",""downloader"",""apple"",""ad"",""asset"",""for"",""itms-services"",""services"",""distribution"",""ad-hoc"",""builds"",""hoc""]"
"LiulietLee/LLDialog","Material design dialog for iOS written in Swift.","[""material-design"",""ios"",""dialog"",""material"",""design"",""for"",""in""]"
"TongKai/TKTagView","TKTagView－－iOS的tag效果，tagview","[]"
"wuwulailai/cardboardvr-ios","虚拟现实","[]"
"rajeevprasanna/iOSCalendarEventParser","Library used for parsing calendar event generated from email","[""parsing"",""calendar"",""email"",""library"",""event"",""for"",""from""]"
"marshallxxx/iOSArchitectures_Demo","iOS Application using different architectures: MVC, MVP, MVVM, VIPER","[""ios"",""application"",""viper"",""ios-application"",""using"",""different""]"
"ufrgs/ufrgs-mobile-ios","Aplicativo oficial da UFRGS para acesso a notícias e RUs.","[""e"",""para"",""a"",""aplicativo""]"
"qq4647805/ImgScale","Scale image for iOS","[""ios"",""image"",""scale"",""for""]"
"TheCodedSelf/Color-Game","iOS freelance project","[""ios"",""project"",""freelance""]"
"jasonkwh/maccha-browser-project","A lightweight iOS web browser","[""ios"",""web"",""browser"",""web-browser"",""lightweight"",""a""]"
"dos-uno/uno-game","A small iOS learner project","[""ios"",""project"",""small"",""a""]"
"animationStand/AnimationChannel","A animation list of awesome iOS UI/UX libraries","[""ios"",""animation"",""list"",""libraries"",""awesome"",""a"",""awesome-ios""]"
"xiaohange/AliPay","💰最新iOS支付宝配置教程：http://blog.csdn.net/qq_31810357/article/details/50630314","[]"
"sgript/LocationNoise","Location privacy app to add noise before transmission of location in iOS.","[""location"",""add"",""privacy"",""app"",""transmission"",""in"",""to"",""noise""]"
"vigneshuvi/cordova-plugin-echo","Simple Cordova plugin that helps to echo the message and it will support both iOS and Android platforms.","[""ios"",""android"",""cordova"",""message"",""simple"",""plugin"",""cordova-plugin"",""it"",""support"",""the"",""to"",""echo"",""helps"",""and"",""will""]"
"google/EarlGrey",":tea: iOS UI Automation Test Framework","[""ios"",""automation"",""ios-ui-automation"",""ui-automation"",""ui"",""framework"",""test"",""test-framework"",""automation-test"",""ios-ui""]"
"monal-im/Monal","Free Jabber/XMPP client for iOS and macOS","[""ios"",""macos"",""client"",""free"",""for"",""and""]"
"sgr-ksmt/PDFGenerator","A simple generator of PDF written in Swift. ","[""pdf"",""simple"",""generator"",""in"",""a""]"
"Sage-Bionetworks/BridgeAppSDK","SDK for creating ResearchKit-based Bridge apps for iOS","[""sdk"",""ios"",""apps"",""bridge"",""for""]"
"nstudio/nativescript-pulltorefresh",":recycle: NativeScript plugin for PullToRefresh controls","[""nativescript"",""controls"",""nativescript-plugin"",""plugin"",""pulltorefresh"",""for""]"
"getsenic/nuimo-emulator-ios","iOS app emulating a physical Nuimo controller made by Senic","[""ios"",""controller"",""app"",""ios-app"",""a"",""made"",""physical""]"
"almassapargali/PhoenixWebSocket","Swift framework for working with websockets on Phoenix","[""swift"",""swift-framework"",""framework"",""for"",""working"",""with"",""websockets"",""phoenix"",""on""]"
"aksswami/ios-barchart-example","Bar chart customisation example using ios-chart library.","[""bar-chart"",""chart"",""bar"",""example"",""customisation"",""using""]"
"joesturz/iOS-Icon-Creator","iOS Developer Automator script for creating icons need for an app","[""ios"",""icons"",""app"",""script"",""for"",""developer"",""automator"",""an"",""ios-developer""]"
"KickSwap/Bred1s-iOS","iOS client that every sneaker head has been waiting for ","[""ios"",""client"",""waiting"",""for"",""ios-client""]"
"whereuat/whereuat-ios","The iOS app for whereu@.","[""ios"",""app"",""ios-app"",""for"",""the""]"
"oldratlee/ios-push-notifications-demo","iOS Push Notifications step-by-step demo","[""ios"",""notifications"",""push"",""demo"",""push-notifications""]"
"thomassuedbroecker/iOSMQTT-Bluemix-IoT-NodeRED","This is a combination, reuse and customization of part from the existing ""IoT Starter for iOS"" and the ""TempTracker"" Project.","[""customization"",""this"",""starter"",""reuse"",""for"",""from"",""the"",""a"",""and""]"
"kusalshrestha/KSProgressBar","Progress bar for iOS","[""ios"",""progress-bar"",""progress"",""bar"",""for""]"
"tron1991/Pokemon-API-Swift","Uses the public Pokemon API to make a simple collection view for downloading pokemon information for iOS","[""ios"",""api"",""view"",""simple"",""information"",""pokemon"",""for"",""collection"",""public"",""the"",""make"",""to"",""a"",""collection-view""]"
"maybeinit/bit","An iOS app that displays the current exchange rate of bitcoins","[""ios"",""app"",""ios-app"",""rate"",""exchange-rate"",""the"",""exchange"",""current"",""an""]"
"Kitura/BlueSocket","Socket framework for Swift using the Swift Package Manager. Works on iOS, macOS, and Linux.","[""swift"",""package"",""framework"",""socket"",""for"",""works"",""the"",""on"",""using"",""and"",""swift-package""]"
"maximbilan/UICollectionViewHorizontalPaging","iOS UICollectionView Page Scrolling","[""ios"",""uicollectionview"",""scrolling"",""page""]"
"Enrise/react-native-nmrangeslider-ios","React Native Slider component with two markers based on NMRangeSlider.","[""react-native"",""native"",""slider"",""react"",""component"",""markers"",""with"",""based"",""on"",""slider-component"",""two""]"
"nzff/cardboard-swift","Google's Cardboard SDK ported to Swift and iOS.","[""swift"",""sdk"",""cardboard"",""to"",""and""]"
"MellongLau/RRongAnimation","Animations for iOS","[""ios"",""animations"",""for""]"
"kyleweiner/Sentiments","Sentiments is an iOS app written in Swift that analyzes text for positive or negative sentiment.","[""swift"",""ios"",""text"",""app"",""ios-app"",""for"",""in"",""an""]"
"Dalein/VCTransition","DropDown ViewController transition (aka iOS 8 Mail app swipeable VC) in 200 strings","[""ios"",""transition"",""viewcontroller"",""dropdown"",""app"",""strings"",""mail"",""swipeable"",""in"",""8"",""viewcontroller-transition""]"
"ModusCreateOrg/cordova-plugin-example","Example Cordova plugin for iOS and Android to support blog post.","[""ios"",""android"",""cordova"",""plugin"",""cordova-plugin"",""example"",""blog"",""for"",""support"",""to"",""and""]"
"haroon-sheikh/cucumber-appium-ruby-example","An example framework to run BDD tests for Android and iOS","[""ios"",""android"",""tests"",""framework"",""bdd"",""bdd-tests"",""example"",""for"",""to"",""and"",""an""]"
"chabokpush/chabok-demo-ios","IOS version of Chabok push service demo application","[""ios"",""service"",""push"",""version"",""demo"",""chabok"",""application"",""demo-application"",""ios-version""]"
"mipmip/YAPDFKit","Yet another PDF Kit for parsing and modifying PDF's. For OS X and iOS.","[""parsing"",""pdf"",""os"",""for"",""kit"",""x"",""and""]"
"wizardofozzie/Pythonista_scripts","Pythonista 2.0 for iOS","[""ios"",""for"",""pythonista""]"
"Gouxin/cordova.plugin.Gouxin","主要是实现H5与源生IOS之间的数据传递和交互","[]"
"skyfe79/RxGitSearch","RxGitSearch is iOS demo app searching github repositories. It uses some Rx techniques to achieve flexible, auto ui update, no dependencies and others.","[""ios"",""dependencies"",""github"",""ui"",""app"",""rx"",""demo"",""demo-app"",""ios-demo"",""auto"",""it"",""to"",""no"",""searching"",""and"",""some"",""no-dependencies""]"
"jhurliman/portrayal","iOS app to transform photos into artistic renditions","[""ios"",""transform"",""app"",""ios-app"",""photos"",""to""]"
"freshOS/Then",":clapper: Tame async code with battle-tested promises","[""async"",""with"",""code"",""promises""]"
"jacobvanorder/FastlaneCocoaConf2016","A iOS App for Demonstrating Fastlane","[""ios"",""fastlane"",""app"",""ios-app"",""for"",""a""]"
"crime-eye/ios","Crime Eye's free iOS app that allows users to find crimes within their postcodes.","[""ios"",""app"",""ios-app"",""free"",""find"",""to"",""users""]"
"troufster/AncsNotifier","Show notifications from iOS ANCS on windows 10 using Bluetooth LE","[""ios"",""notifications"",""bluetooth"",""windows"",""windows-10"",""bluetooth-le"",""show"",""from"",""on"",""using"",""ancs"",""10""]"
"saagarjha/break","App for School Loop","[""app"",""school"",""for"",""loop""]"
"rozgo/iOS-Rust-Interop","iOS Rust native interop examples","[""ios"",""native"",""rust"",""examples"",""interop""]"
"Seachaos/HurryPorter_iOS","A simple and easy use networking library for Android / iOS , It's cross platform :D","[""ios"",""android"",""networking"",""cross-platform"",""platform"",""library"",""simple"",""easy"",""for"",""cross"",""a"",""and""]"
"elmehdiceo/DatingRoom","In this tutorial, im going to show you how to build iOS Chat App using Firebase to save date and JSQ Messages View Controller for chat messages view.","[""ios"",""date"",""firebase"",""view"",""build"",""this"",""chat"",""save"",""controller"",""app"",""messages"",""chat-app"",""im"",""for"",""in"",""show"",""to"",""using"",""how"",""how-to"",""and"",""build-ios"",""chat-app-using-firebase"",""view-controller"",""ios-chat""]"
"devxoul/URLNavigator","⛵️ Elegant URL Routing for Swift","[""swift"",""url"",""routing"",""for"",""elegant""]"
"marmelroy/FileBrowser","Finder-style iOS file browser written in Swift","[""swift"",""ios"",""file"",""browser"",""file-browser"",""in""]"
"Alamofire/AlamofireNetworkActivityIndicator","Controls the visibility of the network activity indicator on iOS using Alamofire.","[""ios"",""visibility"",""controls"",""activity-indicator"",""network"",""indicator"",""activity"",""the"",""on"",""using""]"
"ISosnovik/chooseFigure","Simple iOS game","[""ios"",""simple"",""game"",""ios-game""]"
"chenyufeng1991/iOS-InterviewQuestion","我会在这里和大家分享自己在面试iOS工程师时遇到的各大公司的面试题。和大家分享，实现共同进步！","[]"
"dexman/Minizip","Minizip framework wrapper for iOS, OSX, tvOS, and watchOS.","[""framework"",""wrapper"",""for"",""and"",""minizip""]"
"nativescript-community/nativescript-drawingpad",":pencil: NativeScript plugin to provide a way to capture any drawing (signatures are a common use case) from the device","[""drawing"",""device"",""nativescript"",""capture"",""nativescript-plugin"",""plugin"",""common"",""from"",""the"",""to"",""a"",""any""]"
"sieren/midimittrusb","midimittr USB - Desktop companion for midimittr iOS app","[""ios"",""usb"",""desktop"",""app"",""ios-app"",""companion"",""for""]"
"ubclaunchpad/rocketpoll","An iOS app for polling within groups","[""ios"",""app"",""ios-app"",""for"",""polling"",""groups"",""an""]"
"clairehu7/DesignPatterns","iOS 之23种设计模式（Objective-C 实现《大话设计模式》例子）","[""ios""]"
"amirfrsd/InstaDown","Downloads Instagram Photos/Videos to iOS Device Gallery","[""ios"",""instagram"",""gallery"",""device"",""to"",""ios-device"",""downloads""]"
"google/blockly-ios","Blockly for iOS","[""ios"",""for"",""blockly""]"
"heidihoward/ios","Reliable distributed agreement service for the cloud ","[""service"",""cloud"",""distributed"",""for"",""the"",""agreement""]"
"aguynamedloren/ios-picker-dialog","A pretty picker dialog for iOS in Swift","[""swift"",""ios"",""dialog"",""picker"",""for"",""in"",""picker-dialog"",""pretty"",""a""]"
"hussien89aa/Connect-IOS-with-SQLSERVER","how to connect IOS apps with sqlserver","[""ios"",""connect"",""apps"",""with"",""sqlserver"",""to"",""how"",""how-to""]"
"ronanrodrigo/Recipes","Study case of Clean Architecture and TDD at iOS with Swift.","[""ios"",""architecture"",""tdd"",""clean-architecture"",""clean"",""study"",""with"",""and""]"
"0x5e/0x5e.github.io","A peosonal blog","[""blog"",""a""]"
"BradleyDHobbs/Xamarin.CropView","This is an Objective-C binding project of TOCropViewController for Xamarin.iOS or Xamarin.Forms projects","[""objective-c"",""xamarin.forms"",""xamarin.ios"",""project"",""this"",""binding"",""projects"",""for"",""an"",""tocropviewcontroller""]"
"helloworld1/BulletProof","Multi-platform (Android, iOS) OpenGL ES based additive bullet dodging game. Intended for AI and machine learning studies for game playing.","[""opengl-es"",""machine-learning"",""opengl"",""learning"",""game"",""ai"",""multi-platform"",""for"",""bullet"",""es"",""machine"",""based"",""and""]"
"zhaoxiaobao/inke-ios","映客ios客户端，主要解决视频编解码问题，现在已经没有多大价值，弃之，勿star！","[]"
"tetujin/aware-client-ios","http://awareframework.com","[]"
"theotow/gitmonitor-ios","(App) An app that notifies you if you didn't push your code to remote","[""push"",""app"",""remote"",""code"",""to"",""an"",""notifies""]"
"ravenshore/iOS-Floaters","Floating  Hearts/Emoji/Images effect, similar to Periscope.","[""floating"",""similar"",""to""]"
"KinveyApps/iOS-Starter","Starter app for Kinvey iOS 3.0 SDK","[""sdk"",""ios"",""kinvey"",""app"",""starter"",""for"",""starter-app""]"
"philipshurpik/react-native-starter-kit","React Native starter kit using Redux - crossplatform for iOS and Android","[""ios"",""android"",""react-native"",""native"",""redux"",""crossplatform"",""react"",""starter-kit"",""starter"",""for"",""kit"",""using"",""react-native-starter"",""and""]"
"NathanWalker/nativescript-spotify","A NativeScript plugin for the Spotify iOS and Android SDK's.","[""ios"",""android"",""spotify"",""nativescript"",""nativescript-plugin"",""plugin"",""for"",""the"",""a"",""and"",""spotify-ios""]"
"svyatoslav-reshetnikov/ReactiveApp","Simple RxSwift tutorial with Facebook iOS SDK","[""sdk"",""ios"",""facebook"",""facebook-ios-sdk"",""simple"",""tutorial"",""ios-sdk"",""with"",""rxswift""]"
"nodes-ios/Noted","Notifications made even easier","[""notifications"",""made""]"
"nodes-ios/Cashier","An easy to use 2-layered object cache for iOS.","[""object"",""cache"",""easy-to-use"",""easy"",""for"",""to"",""an""]"
"octolipegames/Edgar","Free/libre and Open-Source iOS game “Edgar The Explorer”.","[""ios"",""open-source"",""game"",""ios-game"",""the"",""and""]"
"rickkas7/multicast-tutorial","Sample code for multicast tutorial Particle Photon, Java, Python, iOS and Android","[""ios"",""android"",""multicast"",""sample"",""tutorial"",""particle"",""for"",""sample-code"",""code"",""and""]"
"DanielCech/iOS-ReactiveRegistration","ReactiveRegistration - demo of ReactiveCocoa 5 & MVVM using Swift 3","[""swift"",""mvvm"",""demo"",""swift-3"",""3"",""using"",""5"",""reactivecocoa""]"
"wondervictor/iWeather","iOS/Weather","[]"
"AdnanRibic/Radio-Zenit-app","Official Radio Zenit iOS app","[""ios"",""radio"",""app"",""ios-app"",""official""]"
"RevTwoInAppSupport/RevTwo-iOS-Library","This is the repo for the RevTwo in-app support library.  Please install using cocoa pods","[""cocoa"",""repo"",""this"",""in-app"",""install"",""for"",""support"",""the"",""using"",""pods""]"
"Reza-Rg/R2GDialog","A fully customizable and interactive dialog for iOS","[""ios"",""dialog"",""customizable"",""for"",""interactive"",""a"",""and""]"
"jonyrock/FoxyBird","An android\ios game on cocos2d-x","[""cocos2d-x"",""game"",""on"",""an""]"
"danmartyn/DAMSearchController","An alternative to UISearchController for iOS that can be tweaked to work in any app.","[""ios"",""uisearchcontroller"",""for"",""can"",""in"",""work"",""to"",""an"",""alternative"",""any""]"
"nodes-ios/user-manager-type","A protocol for implemening a user manager system for your iOS app. The name is a work in progress","[""ios"",""progress"",""system"",""manager"",""work-in-progress"",""for"",""protocol"",""in"",""user"",""name"",""the"",""work"",""a"",""in-progress""]"
"maxxx777/VIPERSwiftTemplate","My Template (VIPER, swift) for Generamba (https://github.com/rambler-ios/Generamba)","[""template"",""for"",""generamba""]"
