"nameWithOwner","description","tag","newAdded","languages","topics"
"assadiandre/Aerial-Image-Stitcher","An algorithm built to stitch drone aerial imagery. The program runs locally on iOS and is built off of the OpenCV framework. It produces accurately geo-referenced maps.","[""ios"",""opencv"",""algorithm"",""drone""]","[""ios"",""opencv"",""algorithm"",""drone""]","[""Objective-C"",""Objective-C++"",""Swift""]","[]"
"chenshi011/PointSeekBar","SeekBar tumb with Circle","[""seekbar"",""circle""]","[]","[""Java""]","[""android"",""seekbar"",""circle"",""point""]"
"KevinZhouRafael/Reed","Reed is a download framework for Swift on iOS. It is many fetures, stability，fast, low coupling, easily extended. This downloader is used ActiveSQLite to persist datas.","[""swift"",""download"",""this"",""framework"",""downloader""]","[""this"",""framework""]","[""Swift"",""Objective-C"",""Ruby"",""C""]","[""downloader"",""download"",""ios"",""swift"",""tiercel"",""mzdownloadmanager"",""sdedownloadmanager"",""downloadmanager"",""swift-downloader"",""ios-downloader""]"
"AhirraoShubham/CameraBuddy","CameraBuddy is an Android Application, which is basically used for getting a Camera (DSLR) on rent basis along with Photographer (CameraBuddy). User can see all CameraBuddies who have registered themselves and hire any CameraBuddy from them.","[""android"",""camera""]","[""android"",""camera""]","[""Java""]","[]"
"cyynf/xmrig","Fork xmrig,  Realize dynamic adjustment of cpu percentage,  support android","[""android"",""dynamic"",""cpu"",""support""]","[""android"",""dynamic"",""cpu"",""support""]","[""CMake"",""Makefile"",""C"",""C++""]","[""xmrig"",""cryptonight"",""cryptonight-lite"",""cpuminer"",""nofee"",""mobile-miner"",""android-miner""]"
"worthbak/GQLSwiftQuery","A GraphQL query constructor for iOS, written in Swift. ","[""graphql"",""query""]","[""graphql"",""query""]","[""Ruby"",""Swift"",""Objective-C""]","[]"
"hxxr/rfterm","Android app. Client for Bluetooth serial connections (RFCOMM), with custom terminal emulator.","[""android"",""bluetooth"",""terminal"",""client"",""custom"",""serial""]","[""android"",""bluetooth"",""terminal"",""client"",""custom"",""serial""]","[""Java""]","[]"
"giacomoferretti/ffapi-project","A project containing all Fast Food related APIs and other things.","[""project"",""food"",""fast""]","[""project"",""food"",""fast""]","[]","[""mcdonalds"",""vmob"",""plexure"",""coupon"",""python"",""python3"",""java"",""smali"",""mod"",""patch"",""app"",""android"",""bot"",""telegram"",""burgerking"",""kfc""]"
"RoRoche/AndroidVIP","Android project to experiment the VIPER approach using mosby, RxJava and dagger2","[""android"",""project"",""rxjava"",""android-project"",""dagger2"",""viper""]","[""project"",""android-project""]","[""Java""]","[""android"",""viper"",""viper-architecture"",""mosby"",""dagger2"",""dagger2-mvp"",""dagger"",""daggermock"",""dagger-2"",""dagger-android"",""mockito"",""rxjava"",""rxjava2"",""rxandroid"",""rxjava-android""]"
"Nicuz/AreaPersonale","This is an unofficial API and Android app. Iliad Italia S.p.A. is not responsible in any way.","[""android"",""api"",""this"",""unofficial""]","[""android"",""api"",""this"",""unofficial""]","[""JavaScript"",""Java""]","[]"
"Minitour/AZTabBarController","A custom tab bar controller for iOS written in Swift 4.2","[""swift"",""ios"",""controller"",""custom"",""bar"",""tab""]","[""swift"",""ios"",""controller"",""custom"",""bar"",""tab""]","[""Swift"",""Ruby""]","[]"
"PROGrand/yolo-coreml","Create and use YOLOv3 Neural Network on iOS","[""ios"",""neural-network"",""network"",""yolov3""]","[""ios"",""neural-network"",""network"",""yolov3""]","[""Python"",""Shell"",""Swift"",""Metal""]","[]"
"berendo/perl-ios-build-scripts","Build libperl to use on iOS development","[""ios"",""build"",""development"",""ios-development""]","[""ios"",""build"",""development"",""ios-development""]","[""Shell""]","[]"
"RazerMS/rms-mobile-xdk-android","Razer Merchant Services mobile payment for Android (Android Studio)","[""android"",""mobile"",""payment"",""services""]","[""android"",""mobile"",""payment"",""services""]","[""Java""]","[]"
"ryouaki/Cordova-Plugin-Photos","This plugin is used for get photo from ios device.","[""ios"",""get"",""this"",""photo"",""plugin""]","[""ios"",""get"",""this"",""photo"",""plugin""]","[""Objective-C"",""JavaScript"",""Batchfile"",""CSS"",""HTML"",""C"",""Shell"",""Java""]","[]"
"parth58/Social-SignIn-Buttons","A Flutter package for both android and iOS which provides Social SignIn Buttons","[""ios"",""android"",""package"",""flutter"",""buttons"",""social"",""signin"",""flutter-package""]","[""ios"",""android"",""package"",""flutter"",""buttons"",""social"",""signin"",""flutter-package""]","[""Dart"",""Kotlin"",""Swift"",""Objective-C""]","[]"
"Isvisoft/flutter_screen_recording","A new Flutter plugin for record the screen.","[""record"",""flutter"",""flutter-plugin"",""plugin""]","[""record"",""flutter-plugin"",""plugin""]","[""Kotlin"",""Swift"",""Objective-C"",""Dart"",""Ruby""]","[""flutter"",""android"",""ios""]"
"JaafarRammal/iOS-Steganography","Hide your texts within the pixel of an image and an encryption key","[""image"",""encryption"",""pixel"",""key""]","[""image"",""pixel"",""key""]","[""Swift"",""Java""]","[""swift"",""ios"",""steganography"",""encryption""]"
"gbmiranda/flutter_plus","Develop applications in Flutter more quickly and easily. Customize Containers, Buttons, Texts and TextFields in a few lines. Navigate between Screens and open BottomSheets, Dialogs and Snackbars without context from any point.","[""flutter"",""dialogs"",""context"",""open"",""applications""]","[""dialogs"",""context"",""open"",""applications""]","[""Dart"",""Kotlin"",""Ruby"",""Swift"",""Objective-C"",""HTML""]","[""flutter"",""dart"",""biblioteca"",""android"",""ios"",""ingles"",""portugues"",""yaml"",""pubspec""]"
"jinuman/dailiary-ios","Emotional daily diary iOS application","[""ios"",""application"",""diary"",""ios-application""]","[""ios"",""application"",""diary"",""ios-application""]","[""Swift"",""Ruby"",""Makefile"",""Shell""]","[""swift"",""rxswift"",""ribs""]"
"UCodeUStory/DataStructure","💋💋数据结构、算法总结、学习算法的时间复杂度、空间复杂度、分析算法特点以及应用、Java面试难题、Android面试难题","[]","[]","[""Java"",""JavaScript"",""Kotlin""]","[]"
"qiyei2015/android_5.1_sdk","this is firefly-rk3288_android_5.1_sdk source code,updown in real ubuntu14.04 machine in chengdu","[""this"",""source""]","[""this"",""source""]","[]","[]"
"elye/demo_android_simplest_dagger2_part4","Extend from https://github.com/elye/demo_android_simplest_dagger2_part3 to show the Dagger 2 testing","[""testing"",""dagger-2"",""dagger""]","[""testing"",""dagger-2"",""dagger""]","[""Kotlin""]","[]"
"appmattus/layercache","Caching made simple for Android and Java.","[""android"",""caching"",""simple""]","[""caching"",""simple""]","[""Kotlin""]","[""android"",""kotlin"",""cache"",""layercache"",""hacktoberfest""]"
"Naveentp/Awesome-Jetpack-Compose","A collaborative list of awesome jetpack compose resources.","[""list"",""awesome"",""jetpack-compose"",""jetpack"",""compose""]","[""list"",""awesome"",""jetpack"",""compose""]","[]","[""jetpack-compose"",""android"",""declarative-ui"",""kotlin""]"
"Reyurnible/android-shape-sample","Android Material Design Theming shape sample","[""material-design"",""android"",""material"",""design"",""sample"",""shape""]","[""material-design"",""android"",""material"",""design"",""sample"",""shape""]","[""Kotlin""]","[]"
"yang163email/FitScreen","Android 屏幕适配的一种方案，包含自动生成xml文件jar包，自动替换dp、sp的jar包。顺便附带上源码","[""android""]","[]","[""Java"",""Kotlin""]","[""android"",""screen""]"
"Intuz-production/Firebase-Phone-Verification-Android","Android Custom Firebase Phone Verification","[""android"",""firebase"",""custom"",""phone"",""verification""]","[""firebase"",""custom"",""phone"",""verification""]","[""Java""]","[""android"",""firebase-authentication""]"
"SouzaRodrigo61/ios-heath-tracking","Health tracking  - Covid and others","[""tracking"",""health"",""covid""]","[""tracking"",""covid""]","[""Swift""]","[""ios"",""swiftui"",""covid-19"",""health""]"
"omgnetwork/sample-ios","Sample iOS application for loyalty point server and OmiseGO Wallet Server.","[""ios"",""server"",""sample"",""application"",""wallet"",""ios-application""]","[""ios"",""server"",""sample"",""application"",""wallet"",""ios-application""]","[""Swift"",""Ruby""]","[]"
"kikuchy/plain_notification_token","Get your push notification token via platform way (APNs for iOS / Firebase Clound Messaging for Android)","[""push-notification"",""ios"",""firebase"",""get"",""push"",""messaging"",""token"",""platform"",""notification""]","[""push-notification"",""ios"",""firebase"",""get"",""push"",""messaging"",""token"",""platform""]","[""Java"",""Ruby"",""Objective-C"",""Dart""]","[""flutter"",""notification"",""apns"",""fcm""]"
"tianbin-dev/AndroidRoomLibExample","Android Room Persistence Library Demo","[""android"",""persistence"",""android-room"",""library"",""demo"",""room"",""room-persistence-library"",""android-room-persistence-library""]","[""persistence"",""android-room"",""library"",""demo"",""room-persistence-library"",""android-room-persistence-library""]","[""Java""]","[""android"",""orm"",""room"",""sqlite"",""annotation""]"
"lihaodong/PDFAndroid","Android网络与本地离线加载PDF文件","[]","[]","[""Java""]","[]"
"msgrizz/TesseractOCRSDKiOS","Use Tesseract OCR in iOS projects written in either Objective-C or Swift.","[""objective-c"",""ios"",""ocr"",""tesseract"",""tesseract-ocr"",""projects""]","[""objective-c"",""ios"",""ocr"",""tesseract"",""tesseract-ocr"",""projects""]","[""Ruby"",""Objective-C"",""Objective-C++"",""Makefile"",""C"",""C++"",""Python"",""Shell""]","[]"
"Alireza1044/voice-conversion-ios","Real-Time Voice Converter on iPhone","[""iphone"",""voice"",""real-time"",""converter""]","[""iphone"",""voice"",""real-time"",""converter""]","[""Swift"",""Ruby""]","[]"
"HknCore/AndroidPaster","AndroidPaster - Use CTRL+V on android emulators","[""android""]","[""android""]","[""Batchfile""]","[]"
"iFanie/Roguin","One-stop-shop for Social Network integrations","[""network"",""social-network"",""social""]","[""network"",""social""]","[""Kotlin""]","[""android"",""social-network"",""google"",""facebook"",""twitter""]"
"RadarCOVID/radar-covid-android","Native Android app using DP^3T Android sdk to handle Exposure Notifications API from Google","[""sdk"",""android"",""notifications"",""api"",""native"",""google"",""android-sdk""]","[""sdk"",""notifications"",""api"",""native"",""google"",""android-sdk""]","[""Kotlin""]","[""android"",""android-studio"",""kotlin""]"
"NaiimAb/AdmobAdController","An aar library for android for better controlling of Admob ads ( Can reduce invalid click and Admob limitation)","[""android"",""admob"",""ads"",""click"",""aar"",""library""]","[""android"",""admob"",""ads"",""click"",""aar"",""library""]","[""Java""]","[]"
"nleiva/xroc","A collection of OpenConfig and Cisco IOS XR examples","[""ios"",""examples"",""collection"",""cisco-ios"",""cisco""]","[""ios"",""examples"",""collection"",""cisco-ios"",""cisco""]","[""Go""]","[""openconfig"",""grpc"",""ios-xr"",""bgp"",""telemetry"",""yang"",""xrgrpc"",""ygot"",""network-programming"",""network-automation""]"
"wuairc/GoldenDictFriend","send selected word to GoldenDict on Android 6.0+ thanks to the new PROCESS_TEXT action","[""android"",""action"",""send""]","[""action"",""send""]","[""Java""]","[""android"",""goldendict""]"
"czczup/MusesArt","A fast style transfer application based on the Xiaomi's MACE framework (基于小米MACE框架的快速风格迁移应用)","[""style"",""framework"",""application"",""fast"",""style-transfer""]","[""style"",""framework"",""application"",""fast"",""style-transfer""]","[""Java"",""CMake"",""C"",""C++""]","[""mace"",""high-resolution"",""fast-style-transfer"",""limited-memory"",""android""]"
"1000ch/PinFeed","A simple Pinboard client for iOS focusing to timeline which you follow.","[""ios"",""client"",""simple"",""timeline""]","[""client"",""simple"",""timeline""]","[""Swift"",""HTML""]","[""ios"",""pinboard"",""swift""]"
"myrealtrip/box","BOX is the Android framework from MyRealTrip which is a MVI architecture for Android apps that is created out of the box.","[""android"",""architecture"",""apps"",""framework"",""android-apps"",""android-framework"",""mvi"",""mvi-architecture""]","[""architecture"",""apps"",""framework"",""android-apps"",""android-framework"",""mvi"",""mvi-architecture""]","[""Kotlin""]","[""android-architecture"",""android"",""android-library"",""android-development""]"
"eliakorkmaz/iCard","Bank Card Generator with Swift using SnapKit DSL 💳","[""swift"",""snapkit"",""card"",""generator"",""dsl""]","[""card"",""generator"",""dsl""]","[""Ruby"",""Swift""]","[""ios"",""swift"",""snapkit"",""auto-layout"",""opensource""]"
"pine/PercentClipView",":star: Cropped layouts with percentage for Android","[""android"",""percentage"",""layouts""]","[""android"",""percentage"",""layouts""]","[""Kotlin"",""Java""]","[""android-library"",""java""]"
"advaita13/YouTubeFloatingPlayer","A Swift-based video player inspired by YouTube","[""youtube"",""video"",""video-player"",""player""]","[""youtube"",""video"",""video-player"",""player""]","[""Ruby"",""Swift""]","[""swift-3"",""cocoapods"",""ios""]"
"Fuyuzora/HomePainter","An iOS app that helps you design and share your brand new room with AR technology with built-in and custom 3D models","[""ios"",""3d"",""share"",""app"",""custom"",""design"",""ios-app"",""room"",""technology"",""ar""]","[""3d"",""share"",""app"",""custom"",""design"",""ios-app"",""room"",""technology"",""ar""]","[""Swift""]","[""argumentreality"",""ios"",""swift4"",""arkit""]"
"yangjingsong/AndroidRelationshipView","Android带有伸展动画的关系图view","[]","[]","[""Java""]","[]"
"urbandroid-team/dont-kill-my-app","Android vendors, don't kill my app!","[""android"",""kill""]","[""kill""]","[""HTML"",""Ruby"",""JavaScript"",""Java"",""SCSS"",""AIDL""]","[""android"",""vendors"",""dontkillmyapp""]"
"Survicate/survicate-android-sdk","Survicate mobile survey SDK for Android","[""sdk"",""android"",""mobile"",""survey""]","[""sdk"",""android"",""mobile""]","[]","[""survey"",""analytics"",""tracking"",""feedback""]"
"anirudhramanan/flatbuffers-android-demo","Comparison between FlatBuffer vs JSON","[""json""]","[""json""]","[""Java""]","[]"
"officialdoniald/Xamarin.Android.SerialPort","Serial Port wrapper for Xamarin.Android. ","[""serial-port"",""port"",""wrapper"",""serial""]","[""serial-port"",""port"",""wrapper"",""serial""]","[""C#""]","[]"
"iamwhcn/ShadowRocket","ios端小火箭离线安装ipa文件","[]","[]","[]","[]"
"aokizen/SPSlideTabBarController","A TabBarController with top TabBar and slide content view for iOS.","[""view"",""slide"",""tabbar"",""tabbarcontroller""]","[""view"",""slide"",""tabbar"",""tabbarcontroller""]","[""Objective-C"",""Ruby""]","[]"
"prscX/react-native-chip-view","React Native: Material Chip View","[""view"",""material"",""react""]","[""view"",""material"",""react""]","[""JavaScript"",""Java"",""Objective-C"",""Starlark""]","[""react-native"",""android"",""ios""]"
"S1B41/google-translate","Translate text in Android using Google Translate API","[""android"",""text"",""api"",""google-translate"",""translate"",""google""]","[""android"",""text"",""api"",""google-translate"",""translate"",""google""]","[""Java""]","[]"
"getsentry/sentry-cocoa","The official Sentry SDK for iOS, tvOS, macOS, watchOS.","[""sdk"",""sentry""]","[""sdk""]","[""Ruby"",""Swift"",""Objective-C"",""Makefile"",""Shell"",""C"",""C++"",""Python"",""JavaScript""]","[""swift"",""objective-c"",""crash-reporting"",""error-monitoring"",""crash-reports"",""error-handler"",""sentry"",""ios"",""tvos"",""macos"",""watchos"",""cocoa""]"
"iroot1973/install_nh","Kali Nethunter for any android device since from kitkat and upper","[""android"",""device"",""android-device""]","[""android"",""device"",""android-device""]","[""Shell""]","[]"
"Krumelur/WifiDemo","Connecting your Xamarin.iOS app to a WiFi network using NEHotspotConfigurationManager","[""wifi"",""xamarin.ios"",""app"",""network"",""wifi-network""]","[""wifi"",""xamarin.ios"",""app"",""network"",""wifi-network""]","[""C#""]","[]"
"BeauNouvelle/SimpleCheckbox","A simple Checkbox","[""checkbox"",""simple""]","[""simple""]","[""Swift"",""Objective-C"",""Ruby""]","[""swift"",""checkbox"",""ios"",""uicontrol"",""checkmark"",""carthage"",""interface-builder"",""cocoapods"",""hacktoberfest""]"
"cocoacontrols/ios-14-playground","Sample code and explorations of iOS 14","[""ios"",""sample"",""sample-code"",""code""]","[""ios"",""sample"",""sample-code"",""code""]","[""Swift""]","[]"
"diogok/termux-qemu-alpine-docker","Run Docker on Alpine, on Qemu, on Termux, on Android.","[""docker""]","[]","[""Shell""]","[""termux"",""alpine"",""docker"",""android"",""qemu""]"
"TronLink/Tronlink-sdk-android","TronLink sdk for android","[""sdk"",""android""]","[""sdk"",""android""]","[""Java""]","[]"
"donkingliang/ConsecutiveScroller","ConsecutiveScrollerLayout是Android下支持多个滑动布局(RecyclerView、WebView、ScrollView等)和普通控件(TextView、ImageView、LinearLayou、自定义View等)持续连贯滑动的容器,它使所有的子View像一个整体一样连续顺畅滑动。并且支持布局吸顶功能。","[]","[]","[""Java""]","[""scrollview"",""recyclerview-webview-scrollview"",""nestedscrolling"",""android"",""android-ui"",""custom-view"",""sticky"",""sticky-headers"",""recyclerview-nestedscrollview"",""nestedscrollingparent"",""nestedscrollingchild""]"
"NightFarmer/SeekBook","读书神器，Flutter框架开发，跨Android/iOS双平台，内置书源覆盖全网热门小说。","[]","[]","[""Kotlin"",""Ruby"",""Swift"",""Objective-C"",""Dart""]","[]"
"hugo4295/PrimerKotlin","Primer programa usando kotlin en android","[""android"",""kotlin""]","[""android"",""kotlin""]","[""Kotlin""]","[]"
"aipaw/eeui-plugin-deviceInfo","设备信息、网络状态、设备震动、屏幕信息、音量信息、电池信息（含：Android、iOS）","[]","[]","[""Java"",""Ruby"",""Objective-C"",""JavaScript""]","[""eeui"",""eeui-plugin"",""deviceinfo"",""network"",""vibration"",""screen"",""volume"",""battery"",""app"",""mobile"",""weex"",""weex-plugin""]"
"basti564/fakesigner","Automatically fakesign /any/ .ipa file for use with AppSync Unified or similar","[""file""]","[""file""]","[""Shell""]","[""signing"",""ios"",""appsync"",""unified"",""script"",""shell"",""shell-script"",""fake"",""fakesigning"",""jailbreak"",""macos"",""automation"",""ios13"",""bash"",""bash-script"",""app"",""ipa"",""fakesign"",""jb""]"
"atveit/keras2ios","Run Keras Deep Learning Models (basic case) with CoreMLTools for iOS 11","[""ios"",""deep-learning"",""keras"",""coremltools"",""learning""]","[""ios"",""deep-learning"",""keras"",""coremltools"",""learning""]","[""Shell"",""Python"",""Swift""]","[]"
"sh0cks3ven/ipwn7","ios 7 installer for the ipod touch 4g","[""ios"",""touch"",""4g"",""installer""]","[""touch"",""4g"",""installer""]","[""Shell""]","[""ios"",""jailbreak""]"
"SL34K/fortniteIOSsignup","Simple python bot using requests to signup for bulk fortnite ios invites","[""ios"",""python"",""simple"",""bot"",""signup""]","[""ios"",""python"",""simple"",""bot"",""signup""]","[""Python""]","[]"
"dipakkr/Popular-Movies"," Android application to explore movie and TV shows, feature to write review, bookmark movie ","[""android"",""android-application"",""application"",""movie"",""tv""]","[""android-application"",""application"",""movie"",""tv""]","[""Java""]","[""udacity-android-nanodegree"",""popular-movies"",""popular-movies2"",""android"",""udacity""]"
"brunogabriel/android-skeleton-mvp","A start project to code using Model View Presentation architecture.","[""view"",""project"",""model"",""code"",""presentation""]","[""view"",""project"",""model"",""code"",""presentation""]","[""Kotlin""]","[""mvp-architecture"",""mvp-android"",""kotlin"",""robots"",""test"",""mvp"",""architecture""]"
"pusher/pusher-platform-android","Pusher Platform SDK for Android","[""sdk"",""android"",""pusher"",""platform""]","[""sdk"",""android"",""pusher"",""platform""]","[""Kotlin"",""Shell""]","[]"
"Sage-Bionetworks/mPower-Android","mPower for Android","[""android""]","[""android""]","[""Java"",""HTML"",""CSS"",""Ruby"",""Shell""]","[]"
"handysolver/ios-starter-kit","IOS App Starter Kit Swift 3","[""swift"",""ios"",""app"",""ios-app"",""starter-kit"",""starter"",""swift-3"",""kit""]","[""swift"",""ios"",""app"",""ios-app"",""starter-kit"",""starter"",""swift-3"",""kit""]","[""Swift"",""Objective-C""]","[]"
"Sopt-Mongle/MongleiOS","🥂몽글의 갬성 iOS🥂","[]","[]","[""Swift"",""Ruby""]","[]"
"Sky24n/Moss","A GitHub client app developed with Flutter, which supports Android iOS Web. More feature: BaiduMap+Amap UI+DiDi+Weibo！","[""ios"",""android"",""github"",""client"",""app"",""github-client""]","[""ios"",""android"",""client"",""app""]","[""Dart""]","[""didi"",""amap"",""baidumap"",""weibo"",""flutter"",""github"",""github-client"",""flutterweb"",""flutterwebapp""]"
"hxwxww/HXSuspendViewManager","iOS仿微信的悬浮窗，自定义转场动画，使用超级简单","[]","[]","[""Swift""]","[]"
"weiyouq/recorder","html5 js 录音 mp3 wav ogg webm amr 格式，JavaScript getUserMedia，支持pc和Android、ios部分浏览器，微信也是支持的","[""mp3"",""wav"",""js"",""html5""]","[""mp3"",""wav"",""js"",""html5""]","[""Java"",""HTML"",""JavaScript""]","[]"
"zjn0505/adb-alfred","adb alfred - all in one","[""adb""]","[]","[""Python"",""AppleScript""]","[""alfred"",""android"",""adb"",""workflow"",""alfred3"",""alfred-workflow"",""alfred4""]"
"Evil2000/FlashAir-Commander","Alternative Android app for Toshiba FlashAir SD Cards","[""android"",""android-app"",""app"",""cards""]","[""android"",""android-app"",""app"",""cards""]","[""Java""]","[]"
"abhriyaroy/SnappingScrollView","A scrollview for Android that follows drag path and snaps to the top or bottom.","[""android"",""scrollview"",""path"",""drag""]","[""scrollview"",""path"",""drag""]","[""Kotlin""]","[""android""]"
"mutualmobile/CardStackUI","An iOS Healthbook-like highly customisable stack of cards implementation for Android","[""ios"",""android"",""stack"",""implementation"",""cards""]","[""ios"",""android"",""stack"",""implementation"",""cards""]","[""Kotlin""]","[]"
"evant/redux","Redux ported to java/android (name tbd)","[""redux""]","[""redux""]","[""Java""]","[]"
"InjoyDeng/ResignTool","This is an app for macOS that can (re)sign apps and bundle them into ipa files that are ready to be installed on an iOS device. Unrestricted by the applicationIdentifier in the ProvisioningProfile file. ","[""ios"",""macos"",""ipa"",""this"",""app"",""apps"",""files"",""bundle""]","[""ios"",""macos"",""ipa"",""this"",""app"",""apps"",""files"",""bundle""]","[""Objective-C""]","[]"
"cuiyaoDroid/AndroidFFmpegAac","android ffmpeg aac recoder and player","[""android"",""ffmpeg"",""aac"",""android-ffmpeg"",""player""]","[""android"",""ffmpeg"",""aac"",""android-ffmpeg"",""player""]","[""Java"",""C++"",""Makefile"",""C"",""Objective-C"",""Shell""]","[]"
"fiskaly/fiskaly-sdk-swift","fiskaly Cloud-TSE SDK for Swift/iOS","[""sdk""]","[""sdk""]","[""Swift"",""Objective-C"",""Ruby"",""Shell"",""C""]","[""swift"",""ios"",""tse"",""kassensichv"",""cloud-tse""]"
"inabhi9/recent-swipo","An Android app to mimic the stock ZUI swipe left/right (navigate in app history) behaviour for Custom ROM 7.x","[""android"",""swipe"",""rom"",""in-app"",""custom-rom"",""android-app"",""app"",""custom"",""stock""]","[""android"",""swipe"",""rom"",""in-app"",""custom-rom"",""app"",""custom"",""stock""]","[""Java""]","[""android-app""]"
"luisalbertosierraalcantara/MEmulator","MEmulator Run J2ME on Android Devices","[""android""]","[""android""]","[]","[]"
"iamsr/Kontakts","A Phonebook Android based application with clean and simple design.","[""android"",""clean"",""simple"",""application""]","[""android"",""clean"",""simple"",""application""]","[""Java""]","[]"
"duman/Android-App-for-Flarum","test","[""test""]","[""test""]","[""Java""]","[]"
"lufzi/Ubud","🏞 Carousel photo browser library for iOS.","[""browser"",""carousel"",""photo"",""library"",""photo-browser""]","[""browser"",""photo"",""library"",""photo-browser""]","[""Swift"",""Objective-C"",""Ruby""]","[""ios"",""swift"",""carousel"",""photobrowser""]"
"qqq3/inventum","Android client for TMDb ","[""android"",""client"",""android-client"",""tmdb""]","[""client"",""android-client""]","[""Java""]","[""movie"",""tmdb"",""tv"",""android""]"
"granoeste/flutter_line_login","A Flutter plugin for allowing users to authenticate with native Android & iOS LINE login SDKs.","[""ios"",""android"",""native"",""line"",""flutter"",""flutter-plugin"",""plugin"",""login""]","[""ios"",""android"",""native"",""line"",""flutter"",""flutter-plugin"",""plugin"",""login""]","[""Kotlin"",""Ruby"",""Objective-C"",""Dart""]","[]"
"Qase/BuildingTemplates-iOS","Basic templates to easy integrate and run fastlane at your iOS project.","[""ios"",""templates"",""fastlane"",""basic"",""easy""]","[""templates"",""basic"",""easy""]","[]","[""ios"",""fastlane"",""build"",""build-tool"",""testflight"",""test-automation"",""screenshot"",""crashlytics"",""slack"",""fastlane-ios"",""fastlane-match"",""dotenv"",""qase""]"
"GeeksTalk/MpesaBuddy","M-Pesa Mobile(Android) Example for GeeksTalkThursday session on 23rd,January 2020","[""session"",""example""]","[""session"",""example""]","[""Java""]","[]"
"efichot/BeeApp","Bank app design to production, Flutter project (Android, IOS, Web)","[""project"",""flutter"",""app"",""design""]","[""project"",""app"",""design""]","[""Kotlin"",""Swift"",""Objective-C"",""Dart"",""HTML"",""TypeScript"",""Ruby"",""JavaScript"",""CSS""]","[""flutter"",""supernova-studio"",""android"",""ios"",""web"",""sketch"",""firebase"",""codemagic""]"
"johnjore/Kala","Xamarin.Forms based client for openHAB 2","[""xamarin.forms"",""client""]","[""xamarin.forms""]","[""C#"",""Shell""]","[""openhab2"",""client"",""android"",""xamarin-forms""]"
"iwhys/sdk-editor-plugin","This is a gradle plugin for android to edit class in SDK.","[""android"",""class"",""gradle"",""this"",""gradle-plugin"",""edit"",""plugin""]","[""android"",""class"",""gradle"",""this"",""gradle-plugin"",""edit"",""plugin""]","[""Kotlin"",""Java""]","[]"
"Mercandj/light-android-audio","Android sound system. Extractor and decoder: OpenSL / MediaCodec / FFmpeg. Player: Aaudio / OpenSL.","[""android"",""opensl"",""mediacodec"",""sound""]","[""android"",""opensl"",""mediacodec"",""sound""]","[""Java"",""C++"",""C""]","[]"
"Patrick-E-Rankin/Mach3Controller","Android / ESP32 / ESP8266 Controller (+ coordinate display) for Mach3 CNC","[""android"",""controller"",""esp8266"",""esp32""]","[""android"",""controller""]","[""C++"",""Python""]","[""mach3"",""cnc"",""udp"",""udp-server"",""udp-client"",""esp8266"",""esp32"",""arduino"",""esp32-arduino"",""esp8266-arduino"",""oled"",""lcd20x4"",""lcd2004"",""websocket"",""bluetooth""]"
"AgapovOne/LivePhotoToVideo","Live photo to GIF, video","[""video"",""photo"",""live""]","[""video"",""photo"",""live""]","[""Swift"",""Objective-C"",""Ruby"",""C""]","[""ios"",""swift"",""livephoto"",""photos"",""rx""]"
"simuty/iOSLive","iOS直播, 包含视频/音频的硬编码/软编码","[]","[]","[""Objective-C""]","[]"
"maciekczwa/shadowlib","Library for colored, customizable shadows on Android","[""android"",""library"",""customizable""]","[""android"",""library"",""customizable""]","[""Kotlin"",""Java""]","[]"
"macthomasengineering/MteEVAL-b4x-library","B4X Expression Compiler and Eval Library","[""library"",""compiler""]","[""library""]","[""Visual Basic"",""Batchfile"",""Java""]","[""b4a"",""java"",""b4x"",""compiler"",""visual-basic"",""android"",""ios""]"
"toshi0383/HorizontalStickyHeaderLayout","Horizontal UICollectionViewLayout with Sticky HeaderView","[""uicollectionviewlayout"",""horizontal"",""sticky""]","[""horizontal"",""sticky""]","[""Swift"",""Objective-C"",""Ruby""]","[""swift"",""uicollectionview"",""uicollectionviewlayout"",""carthage"",""headerview"",""ios"",""tvos""]"
"OxfordHCC/tracker-control-android","TrackerControl: monitor and control trackers and ads.","[""monitor"",""control""]","[""monitor"",""control""]","[""Java"",""CMake"",""C"",""HTML"",""SCSS""]","[""privacy-enhancing-technologies"",""data-protection"",""gdpr"",""android"",""tracker""]"
"kunny/kunny-kotlin-book","'차세대 안드로이드 개발자를 위한: 커니의 코틀린' 예제 프로젝트 저장소","[]","[]","[]","[""kotlin"",""android"",""rxjava"",""dagger"",""android-architecture-components"",""viewmodel"",""room"",""lifecycle"",""rxbinding""]"
"androidmads/XAZxing","Port of Zxing IntentIntegrator for Xamarin.Android","[""zxing"",""xamarin.android"",""port""]","[""zxing"",""xamarin.android"",""port""]","[""C#""]","[]"
"AnneHan/ListViewDemo","Android Studio列表用法之一：ListView图文列表显示（实例）","[""android""]","[""android""]","[""Java""]","[]"
"gao211326/GLButtonImageTitleCategory","iOS 按钮图片和文字位置间距调整","[""ios""]","[""ios""]","[""Objective-C""]","[]"
"kmyhy/TimeLineDemo","一个 iOS 时间线控件","[""ios""]","[""ios""]","[""Objective-C""]","[]"
