"nameWithOwner","description","tag"
"gabrielemariotti/cardslib","Android Library to build a UI Card","[""android"",""android-library"",""build"",""library"",""card"",""ui""]"
"gaugesapp/gauges-android","Gaug.es Android App","[""android"",""app"",""android-app""]"
"eschao/android-PageFlip","3D Style Page Flip on Android","[""android"",""3d"",""style""]"
"bauerca/drag-sort-listview","Android ListView with drag and drop reordering.","[""listview"",""android-listview"",""android"",""drag-and-drop"",""drag""]"
"rmtheis/tess-two","Fork of Tesseract Tools for Android","[""android"",""tesseract"",""tools""]"
"Nightonke/BoomMenu","A menu which can ... BOOM! - Android","[""android"",""menu""]"
"yanzhenjie/AndPermission",":strawberry: Permissions manager for Android platform.","[""android"",""permissions""]"
"mrwonderman/android-square-progressbar","An android library to display a progressbar that goes around an image.","[""android"",""display"",""android-library"",""library"",""progressbar""]"
"wasdennnoch/AndroidN-ify","[Discontinued] An Xposed module to use features introduced in Android N on your LP+ Device","[""android"",""module"",""xposed"",""device""]"
"easyandroidgroup/EasyAndroid","一系列简单、轻量、方便的Android开发工具集合(持续更新中),包括Android动态权限、SharedPreferences、反射、日志、Toast、Bundle、MVP、线程池、Html、图文混排、蒙层引导、拍照、图库选择等","[]"
"litesuits/android-lite-bluetoothLE","BLE Framework. Based on Bluetooth 4.0. Based on callback. Extremely simple!  Communication with BluetoothLE(BLE) device as easy as HTTP communication. Android低功耗蓝牙便捷操作框架，基于回调，完成蓝牙设备交互就像发送网络请求一样简单。","[""http"",""bluetooth"",""device"",""communication"",""ble"",""easy""]"
"CaMnter/AndroidLife","📔 CaMnter's android learning life and footprint.","[""android"",""learning""]"
"nicolasgramlich/AndEngine","Free Android 2D OpenGL Game Engine","[""android"",""2d"",""game-engine"",""opengl"",""free"",""game""]"
"HeZaiJin/SlantedTextView","Android slanted TextView.","[""android"",""slanted""]"
"sromku/android-storage","Create, read, delete, append, encrypt files and more, on internal or external disk spaces with a really simple API","[""api"",""external""]"
"jitsi/jitsi-android","Jitsi for Android is an Android port of the Jitsi project: The most feature-rich communicator with support for encrypted audio/video, chat and presence over SIP and XMPP","[""android"",""sip"",""xmpp"",""port"",""chat"",""jitsi"",""encrypted""]"
"opentrace-community/opentrace-android","OpenTrace Android app. Reference implementation of the BlueTrace protocol.","[""android"",""reference"",""implementation""]"
"yangfuhai/ASimpleCache","a simple cache for android and java","[""java"",""android"",""cache""]"
"card-io/card.io-Android-source","The open-source code for the card.io-Android-SDK: provides fast, easy credit card scanning in mobile apps","[""mobile"",""scanning"",""open-source"",""credit-card"",""apps"",""card"",""card-scanning"",""easy"",""code""]"
"anitab-org/powerup-android","PowerUp is an educational choose-your-own-adventure game that utilizes a users uploaded curriculum to empower pre-adolescents to take charge of their reproductive health. This is the Android version of the game.","[""android"",""android-version"",""this"",""version"",""game""]"
"twitter-archive/twitter-kit-android","Twitter Kit for Android","[""android"",""twitter""]"
"googlearchive/firebase-jobdispatcher-android","DEPRECATED please see the README.md below for details.","[""deprecated""]"
"LinJZong/AndroidProject","存放Android项目","[]"
"dineshshetty/Android-InsecureBankv2","Vulnerable Android application for developers and security enthusiasts to learn about Android insecurities","[""android"",""security"",""android-application""]"
"francistao/LearningNotes","Enjoy Learning.","[]"
"fpzeng/KSYStreamer_Android","金山云Android采集推流SDK(Livestream SDK)，支持内置/自定义美颜(Beauty Filter)、美声(Beauty Voice)、软硬编(Software/Hardware Encoder) 、网络自适应(Network Auto Adapt)、混音(Voice Mixer)、混响(Reverb)、画中画(PIP)、连麦(RTC)、动态贴纸(Sticker)、大眼瘦脸(Bigger Eyes and Smaller Faces)","[]"
"Mybridge/amazing-android-apps","Amazing open source Android apps written in Java. ","[""android"",""open-source"",""apps"",""android-apps""]"
"ValuesFeng/AndroidPicturePicker","android powerful picture picker","[""android"",""picker""]"
"zulip/zulip-android","Legacy Zulip Android app","[""android"",""app"",""android-app""]"
"w446108264/AndroidEmoji","AndroidEmoji","[]"
"Karumi/AndroidAudit","Your Android app as a crime scene!!!","[""android"",""app"",""android-app""]"
"blackcj/AndroidCustomKeyboard","Android custom keyboard with predictive text.","[""keyboard"",""android"",""android-custom-keyboard""]"
"mwolfson/AndroidAVDRepo","A collection of pre-configured Android emulator configuration files (AVD and ini files)","[""android"",""configuration"",""android-emulator"",""emulator""]"
"jackuhan/AndroidMonitor","Android开发辅助工具fps,topActivity,activity启动耗时,电量cpu内存分析。适配全机型悬浮窗权限。","[]"
"zhengxiaopeng/android-dev-bookmarks","Android Dev Bookmarks(ADB) - Android 开发者的浏览器书签 For CN-Dev now | 历史更新文章戳这里：https://rocko.xyz/categories/Android-Dev-Bookmarks/  |  订阅： https://tinyletter.com/Rocko  |   站点主页：","[""android""]"
"huntermr/FastAndroid","这是一个融入了MVP模式,集成了多个开源项目后,进行整合形成的Android快速开发框架。","[]"
"PopcornTimeCommunity/android","official android repository of original popcorn time community edition","[""android"",""time"",""repository"",""community""]"
"kmshack/Android-ParallaxHeaderViewPager","DEPRECATED","[""deprecated""]"
"googlearchive/android-ads","Migrated:","[]"
"takimafr/androidkickstartr","AndroidKickstartR helps you to quickly create a well configured Android application using the most popular libraries. It creates and configures your project for you. Just focus on code!","[""android"",""project"",""focus"",""android-application""]"
"openshopio/openshop.io-android"," OpenShop.io","[]"
"alt236/Bluetooth-LE-Library---Android","This library allows for easy access to a Bluetooth LE device's AdRecord and RSSI value. It offers additional functionality for iBeacons.","[""bluetooth"",""this"",""rssi"",""library"",""easy""]"
"cn-ljb/rxjava_for_android","Android platform on the use of Demo RxJava","[""android"",""platform"",""rxjava"",""demo"",""android-platform""]"
"romannurik/Android-MonthCalendarWidget","A simple example of a responsive Month Calendar app widget for Android","[""android"",""widget"",""calendar"",""responsive"",""app"",""example""]"
"crosswall/Android-Coverflow","A beautiful coverflow lib for android","[""android"",""lib""]"
"BlueMor/Android-PullLayout","仿UC天气下拉和微信下拉眼睛","[]"
"mancj/SlideUp-Android","SlideUp is a small library that allows you to add sweet slide effect to any view.","[""slide"",""add"",""effect"",""library"",""slideup""]"
"parse-community/ParseUI-Android","ParseUI contains user interface libraries for building apps with the Parse Android SDK.","[""android"",""interface"",""user-interface"",""libraries"",""contains"",""apps"",""parse-android""]"
"adhamenaya/AndroidMosaicLayout","[UNMAINTAINED]: AndroidMosaicLayout is android layout to display group of views as grid consists of different asymmetric patterns (90 different patterns).","[""android-layout"",""android"",""layout"",""grid"",""display""]"
"payatu/diva-android","DIVA Android - Damn Insecure and vulnerable App for Android","[""android"",""app""]"
"manadream/AndroidProxySetter","An android app that sets the proxy settings for a wifi access point by using adb","[""android"",""settings"",""adb"",""wifi"",""proxy"",""app"",""android-app""]"
"mwolfson/android-historian","A demo of the Android Material Design Support libraries","[""material-design"",""android"",""libraries"",""material"",""demo"",""android-material"",""design""]"
"googlearchive/android-instant-apps","Migrated:","[]"
"emilsjolander/android-FlipView","A small, easy to use android library for implementing flipping between views as seen in the popular Flipboard application","[""android"",""android-library"",""library"",""easy""]"
"cundong/ZhihuPaper","Zhihu Daily Android App","[""android"",""app"",""android-app""]"
"Karumi/AndroidAudit","Your Android app as a crime scene!!!","[""android"",""app"",""android-app""]"
"blackcj/AndroidCustomKeyboard","Android custom keyboard with predictive text.","[""keyboard"",""android"",""android-custom-keyboard""]"
"mwolfson/AndroidAVDRepo","A collection of pre-configured Android emulator configuration files (AVD and ini files)","[""android"",""configuration"",""android-emulator"",""emulator""]"
"jackuhan/AndroidMonitor","Android开发辅助工具fps,topActivity,activity启动耗时,电量cpu内存分析。适配全机型悬浮窗权限。","[]"
"zhengxiaopeng/android-dev-bookmarks","Android Dev Bookmarks(ADB) - Android 开发者的浏览器书签 For CN-Dev now | 历史更新文章戳这里：https://rocko.xyz/categories/Android-Dev-Bookmarks/  |  订阅： https://tinyletter.com/Rocko  |   站点主页：","[""android""]"
"huntermr/FastAndroid","这是一个融入了MVP模式,集成了多个开源项目后,进行整合形成的Android快速开发框架。","[]"
"PopcornTimeCommunity/android","official android repository of original popcorn time community edition","[""android"",""time"",""repository"",""community""]"
"kmshack/Android-ParallaxHeaderViewPager","DEPRECATED","[""deprecated""]"
"googlearchive/android-ads","Migrated:","[]"
"cmusphinx/pocketsphinx-android-demo"," This is a demonstration for Pocketsphinx on Android","[""android"",""this"",""pocketsphinx""]"
"qqchenjian318/VideoEditor-For-Android","一个Android的视频编辑器，包括了视频录制、剪切、增加bgm、美白、加滤镜、加水印等多种功能","[]"
"ribot/ribot-app-android","The ribot studio app for the Android Platform","[""android"",""platform"",""app"",""android-platform""]"
"tsug0d/AndroidMobilePentest101","Pentesting Android Application Course For Kids+ (English and Vietnamese edition)","[""android"",""android-application"",""pentesting"",""course""]"
"lorensiuswlt/AndroidImageCrop","How select and crop image on Android","[""android"",""image"",""select"",""crop""]"
"1993hzw/Androids","提供了一些工具类以及自定义View，用于日常的Android快速开发。something about android","[""android""]"
"googlearchive/android-JobScheduler","This sample has been deprecated/archived. Check this repo for related samples:","[""repo"",""this"",""sample""]"
"mikepenz/Android-ActionItemBadge","This library offers a simple method to add a small badge icon to your ActionBar-MenuItem","[""badge"",""this"",""add"",""library""]"
"ShaunSheep/Android_100_TOP-Projects","Android 100 TOP Projects all over the github (Android百大框架排行榜)","[""android"",""github""]"
"inmite/android-selector-chapek","Android Studio plugin which automatically generates drawable selectors from appropriately named resources.","[""android"",""android-studio"",""drawable"",""plugin""]"
"SimpleBoilerplates/Android","A boilerplate project for Android written in Kotlin","[""android"",""kotlin"",""project"",""boilerplate""]"
"gelitenight/WaveView","waveview for android","[""android""]"
"coolerfall/Android-AppDaemon","[Deprecated]App process daemon.","[""process""]"
"pelya/android-keyboard-gadget","Convert your Android device into USB keyboard/mouse, control your PC from your Android device remotely, including BIOS/bootloader.","[""android"",""usb"",""device"",""control"",""android-device""]"
"lgvalle/android-flux-todo-app","Example of how to implement an Android TODO App using Facebook Flux Architecture","[""android"",""facebook"",""architecture"",""app"",""example""]"
"BakerJQ/Android-InfiniteCards","An infinite card switching UI for Android, support custom animation    自定义实现神奇动效的卡片切换视图","[""animation"",""card"",""ui""]"
"wuhenzhizao/android-titlebar","🔥 通用，功能全面的自定义标题栏，支持沉浸式标题栏，颜色渐变，miui9","[]"
"scottyab/AESCrypt-Android","Simple API to perform AES encryption on Android. This is the Android counterpart to the AESCrypt library Ruby and Obj-C (with the same weak security defaults :( ) created by Gurpartap Singh.  https://github.com/Gurpartap/aescrypt","[""android"",""api"",""security"",""encryption"",""aes"",""ruby"",""this"",""library"",""aes-encryption""]"
"MegatronKing/SVG-Android","support svg images for android 4.0+, more powerful than IconFont and Vector.","[""android"",""svg""]"
"lovedise/PermissionGen","Android API easy to use permission for Android M","[""android"",""api"",""m"",""permission"",""easy""]"
"kaedea/android-dynamical-loading","🔌 Android plugin development library (Frontia) and tech introductions, which means that you can upgrade your Android APP or fix emergent bugs, as well as reduce the file size of Apk without any re-installation.","[""android"",""file"",""apk"",""size"",""upgrade"",""library"",""app"",""development"",""plugin"",""android-app"",""android-plugin""]"
"lizhangqu/CoreLink","Android 开发中的日常积累","[""android""]"
"dmytrodanylyk/android-morphing-button","Android Morphing Button","[""android"",""button""]"
"marcogulino/AndroidUsbCamera","Android USB Camera Driver/Bridge for GNU/Linux","[""android"",""camera"",""usb"",""android-usb""]"
"dogriffiths/HeadFirstAndroid","Source code for the book Head First Android Development by O’Reilly Media","[""android"",""media"",""development"",""android-development"",""book"",""source-code"",""code""]"
"XiaoMi/android_tv_metro","android tv metro framework and server API","[""android"",""api"",""server"",""android-tv"",""framework"",""tv""]"
"romannurik/AndroidIconAnimator","Android vector icon animation tool","[""android"",""animation"",""vector""]"
"baoyongzhang/android-ActionSheet","iOS UIActionSheet for Android","[""ios"",""android"",""uiactionsheet""]"
"athkalia/Just-Another-Android-App","An Android base app with loads of cool libraries/configuration NOT MAINTAINED","[""android"",""app"",""base""]"
"guanchao/AndroidChecklist","Android应用审计checklist整理","[]"
"MDCC2016/Android-Session-Slides","Here are the slides in MDCC 2016 Android Session.","[""android"",""slides""]"
"109021017/android-TopActivity","A useful tool for Android Developers, which shows the package name and class name of current activity.","[""android"",""class"",""package"",""package-name""]"
"eddydn/AndroidGridLayout","Android Grid Layout demo with Click / Select Item","[""android"",""layout"",""grid-layout"",""grid"",""select"",""click"",""demo""]"
"Opentracker/android","The Opentracker Logging and Event engine supports tracking of Android native app events.","[""android"",""logging"",""native"",""tracking"",""app""]"
"geftimov/android-player","Android animation when entering new screen.","[""android"",""animation"",""android-animation"",""new""]"
"xuningjack/AndroidNet","Java & Android Network Module（JAVA网络、Android网络操作：包括网络请求、WebView相关、常用第三方框架OkHttp&Volley）","[""java"",""android"",""network""]"
"bmob/bmob-android-im-sdk","Bmob im sdk开源","[""im""]"
"googlearchive/android-audio-high-performance","We now recommend you use the Oboe libraries:","[""oboe""]"
"googlearchive/android-credentials","Migrated:","[]"
"tony19/logback-android","📄The reliable, generic, fast and flexible logging framework for Android","[""android"",""logging"",""framework"",""fast""]"
"ahorn/android-rss","Lightweight Android library to parse RSS 2.0 feeds.","[""android"",""rss"",""android-library"",""library""]"
"KDAB/android","KDAB's Android gems","[""android""]"
"CodelightStudios/Android-Smart-Login","A smart way to add Login functionality to your Android app.","[""android"",""add"",""login""]"
"Miserlou/Android-SDK-Samples","GitHub mirror of the Android SDK Samples. API version 17.","[""sdk"",""android"",""api"",""github"",""version"",""android-sdk""]"
"telerik/Android-samples","This repository is used to store all controls' samples for the Telerik UI for Android suite.","[""android"",""this"",""repository"",""telerik"",""store"",""ui"",""samples""]"
"dmytrodanylyk/shadow-layout","Android Shadow Layout","[""android"",""layout"",""shadow""]"
"dawei101/shadowsocks-android-java","Shadowsocks android client, pure java version","[""java"",""android"",""version"",""shadowsocks"",""shadowsocks-android""]"
"dialogflow/dialogflow-android-client","Android SDK for Dialogflow","[""sdk"",""android"",""android-sdk""]"
"sk3ptre/AndroidMalware_2019","Popular Android threats in 2019","[""android""]"
"NordicSemiconductor/Android-nRF-Connect","Documentation and issue tracker for nRF Connect for Android.","[""connect""]"
"square/dagger","A fast dependency injector for Android and Java.","[""android"",""fast""]"
"dreamlivemeng/androidstudio-plugins","Android studio 插件","[""android"",""android-studio""]"
"sd6352051/NiftyNotification","effects for android notifications","[""android"",""notifications"",""android-notifications"",""effects""]"
"corochann/AndroidTVappTutorial","Hands on tutorial for coding Android TV app from scratch","[""android"",""android-tv"",""app"",""tutorial"",""tv"",""coding""]"
"passsy/android-HoloCircularProgressBar","Holo Circular ProgressBar","[""progressbar""]"
"stormzhang/9GAG","Android unofficial REST Client of 9GAG.","[""android"",""rest"",""client""]"
"LiushuiXiaoxia/AndroidModular","总结Android模块化的一些知识点。","[]"
"ksvc/KSYMediaPlayer_Android","金山云Android播放SDK（KSYUN Live Streaming player SDK），支持RTMP HTTP-FLV HLS 协议（supporting RTMP HTTP-FLV HLS protocol），直播延时2-3秒（Living delay 2 or 3 seconds），supporting jitter control，software&hardware decode","[""rtmp"",""decode"",""delay"",""live-streaming"",""player"",""live""]"
"mrmaffen/vlc-android-sdk","VLC Android SDK pushed to Maven Central. Primarily used in project tomahawk-android.","[""sdk"",""android"",""maven"",""project"",""vlc-android"",""vlc"",""android-sdk""]"
"chyrta/AndroidOnboarder","A simple way to make a beauty onboarding experience (app intro or welcome screen) for your users.","[""onboarding"",""intro""]"
"GcsSloop/encrypt","[暂停维护]Android 加密解密工具包。","[]"
"longtaoge/AndroidShell","Android APK 加壳保护","[""android"",""apk"",""android-apk""]"
"misakuo/3dTagCloudAndroid","Tagcloud component for android","[""android"",""component""]"
"googlearchive/AndroidDrawing","A demonstration of using Firebase to create a shared drawing Android application","[""android"",""firebase"",""drawing"",""shared"",""android-application""]"
"rovo89/android_art","Android ART with modifications for the Xposed framework.","[""android"",""xposed"",""art""]"
"koush/android_system_core","Android System Core (CM)","[""android"",""system"",""core""]"
"bither/bither-android-lib","Bither Android Library","[""android"",""android-library"",""library""]"
"japgolly/svg-android","Fork of svg-android  +SVN history  +Maven  +more","[]"
"andruhon/android5xlsx","Reading and Writing XLSX and XLS on Android 5+ with Apache POI","[""android"",""apache"",""apache-poi""]"
"johnkil/Android-ProgressFragment","Implementation of the fragment with the ability to display indeterminate progress indicator when you are waiting for the initial data.","[""fragment"",""display"",""progress"",""implementation"",""indicator""]"
"benoitletondor/Android-Studio-MVP-template","Android MVP template for Android Studio","[""android"",""android-studio"",""mvp"",""android-mvp"",""template""]"
"Android-ScreenShot/AndroidScreenShotService","This is the project help you to achieve screenshot function on android","[""android"",""project"",""screenshot"",""this"",""function""]"
"xinghongfei/LookLook","A amazing reading app","[""app""]"
"kongqw/AndroidRocker","Android 摇杆","[""android""]"
"iknow4/Android-Video-Trimmer","Android-Video-Trimmer项目实现了对长短视频进行片段的裁剪选择。使用MediaMetadataRetriever获取视频帧，采用ffmpeg进行视频裁剪，和视频压缩。","[]"
"googlearchive/android-ui-toolkit-demos","Migrated:","[]"
"kaedea/android-mvp-pattern","An android simple but clear sample project for MVP pattern, including mvp usage with eventbus. @Deprecated, try google official solution: https://developer.android.com/topic/libraries/architecture/","[""android"",""project"",""mvp"",""sample""]"
"SenhLinsh/Android-Hot-Libraries","收集总结 Android 项目中值得推荐的优秀开源项目","[""android""]"
"xiaoyuzdy/learnAndroid","学习代码","[]"
"nguyenvulebinh/android-firebase-chat","Advance chat app for android devices using Firebase","[""android"",""firebase"",""chat"",""app""]"
"lyft/scissors","✂ Android image cropping library","[""android"",""image"",""android-image"",""library""]"
"yqritc/Android-ScalableVideoView","Android Texture VideoView having a variety of scale types like the scale types of ImageView such as fitCenter, centerCrop, centerTopCrop and more","[""android"",""imageview"",""scale"",""types""]"
"naman14/AlgorithmVisualizer-Android","Visualize algorithms and data structures using animations","[""data-structures"",""animations""]"
"chiclaim/AndroidUpdater","Android App 通过 DownloadManager 组件进行新版本 APK 文件下载，实现了一套完整的 App 更新逻辑","[""android"",""apk"",""app"",""android-app"",""downloadmanager""]"
"vinc3m1/android-segmentedradiobutton","Android implementation of iPhone's segmented control","[""android"",""implementation"",""control""]"
"runner365/android_rtmppush_sdk","android rtmp push sdk","[""sdk"",""android"",""rtmp"",""push""]"
"routerkeygen/routerkeygenAndroid","Router Keygen generate default WPA/WEP keys for several routers.","[""default"",""router""]"
"mr5/icarus-android","[DISCONTINUED] Rrich text editor for android platform. 安卓富文本编辑器，暂停维护","[""android"",""text"",""editor"",""text-editor""]"
"bufferapp/android-guidelines","Project Guidelines for the Android Buffer App","[""android"",""buffer"",""project"",""app"",""guidelines""]"
"AleBarreto/FirebaseAndroidChat","Chat with features : Login with Google | Send Photo Camera | Send Photo Gallery | Send Location","[""camera"",""gallery"",""location"",""chat"",""photo"",""photo-gallery"",""send"",""login""]"
"shadowsocks/kcptun-android","kcptun for Android.","[]"
"bmarrdev/android-DecoView-charting","DecoView: Android arc based animated charting library","[""android"",""library"",""arc""]"
"palaima/AndroidSmoothBluetooth","Smooth communication via bluetooth with other android devices or microcontrollers such as Arduino.","[""android"",""bluetooth"",""communication""]"
"inloop/shadow4android","Android 9-patch shadow generator","[""android"",""shadow""]"
"gcesarmza/curl-android-ios","Static libcurl to be used in Android and iOS apps. Build scripts included. No Android source required","[""ios"",""android"",""android-source"",""build"",""static""]"
"500px/greedo-layout-for-android","Full aspect ratio grid LayoutManager for Android's RecyclerView","[""grid"",""aspect-ratio"",""recyclerview""]"
"Karumi/KataSuperHeroesAndroid","Super Heroes Kata for Android Developers. The main goal is to practice UI Testing.","[""android"",""ui"",""kata""]"
"jcarolus/android-chess","Chess game for Android.","[""game""]"
"LLhon/Android-Video-Editor","一款Android视频编辑项目，功能有视频拍摄，视频裁剪，视频滤镜，视频压缩","[]"
"linuxxx/EasyPR_Android","EasyPR移植到Android版本","[]"
"cesards/AndroidShell","Android Developers are used to use an amount of shell commands in their everyday work, so I'm gonna recopilate some good shell commands to make search easier","[""android"",""search"",""shell""]"
"tzutalin/dlib-android-app",":dragon: Android app to demo dlib-android(https://github.com/tzutalin/dlib-android). Use the prebuilt shared-lib built from dlib-android","[""android"",""app"",""android-app"",""demo""]"
"xplodwild/android_packages_apps_Focal","Open Source Android Camera App | don't forget android_external_Focal repo","[""android-camera"",""android"",""camera"",""repo"",""open-source"",""app""]"
"cundong/SmartAppUpdates","Android应用增量更新","[]"
"dibakarece/AndroidFileExplorer","It's a simple android File Explorer, here you can see all the internal and external file. Here I can set only choose PDF, DOC, DOCX file if exists in the file folder.","[""android"",""file"",""android-file"",""set"",""external""]"
"android-exchange/Android-Interview","收集 Android 开发相关最具价值的面试题及常见套路，持续更新...","[""android""]"
"yixiaolunhui/AndroidCarrouselLayout","a carousel layout for android","[""android"",""layout"",""carousel""]"
"kevinkong/Emmagee","Android performance test tool","[""android"",""performance"",""android-performance""]"
"kaedea/android-tagview","An Android TagView Widget. You can edit the tag's style, and set listener of selecting or deleting tag. ","[""android"",""listener"",""set"",""edit""]"
"smarteist/Android-Image-Slider","Android Auto Image Slider","[""android"",""image"",""slider"",""android-auto""]"
"lucasr/android-layout-samples","[DEPRECATED] Explorations around Android custom layouts ","[""android""]"
"lucasr/android-layout-samples","[DEPRECATED] Explorations around Android custom layouts ","[""android""]"
"kejunxia/AndroidMvc","Android MVC/MVP/MVVM framework","[""android"",""framework""]"
"rozdoum/social-app-android","Build your social app for Android with the code template that includes the following key features for social networks as likes, comments, posts, image uploads, etc.","[""android"",""image"",""build"",""key"",""app"",""code-template"",""template"",""social"",""code""]"
"anyrtcIO-Community/AR-RTMPC-Android","基于RTMP和RTC混合引擎的在线视频连麦互动直播","[]"
"catchthecows/AndroidImageMap","An HTML map like widget in an Android view","[""html"",""android"",""android-view"",""widget"",""view"",""map""]"
"kanytu/android-material-drawer-template","An Android template with navigation drawer for material design","[""material-design"",""android"",""navigation-drawer"",""navigation"",""drawer"",""material"",""template"",""design""]"
"nekocode/CameraFilter","📷 Realtime camera filters on android.","[""camera"",""realtime""]"
"klinker41/android-chips","Chips in your AutoCompleteTextView on Android","[""android"",""autocompletetextview""]"
"123lxw123/VideoWorld_Android","影视天地（Android 客户端），涵盖电影、电视剧、综艺节目、动漫、游戏五大类别的资源。整合两大资源搜索引擎，连接互联网千万数量级的资源库。支持视频资源在线播放、边下边播，不限速下载，不等待播放。","[]"
"Kickflip/kickflip-android-sdk","Kickflip Android SDK - Live Video Streaming to the Cloud","[""sdk"",""android"",""video"",""video-streaming"",""cloud"",""android-sdk"",""live""]"
"123lxw123/VideoWorld_Android","影视天地（Android 客户端），涵盖电影、电视剧、综艺节目、动漫、游戏五大类别的资源。整合两大资源搜索引擎，连接互联网千万数量级的资源库。支持视频资源在线播放、边下边播，不限速下载，不等待播放。","[]"
"liangfeidotme/AndroidScreenSlidePager","Pager (especially for ViewPager) indicator in two styles: circle & fraction.","[""indicator""]"
"pengwei1024/AndroidSourceViewer","Android Source Viewer Plugin for Android Studio ","[""android"",""android-studio"",""android-source"",""plugin""]"
"vbauer/android-arsenal.com","Source to android-arsenal.herokuapp.com","[]"
"serso/android-calculatorpp","Android Calculator","[""android"",""calculator""]"
"dronekit/dronekit-android","Android DroneKit implementation","[""android"",""implementation""]"
"noties/Scrollable","Android scrollable tabs","[""android"",""tabs"",""scrollable""]"
"kuoruan/Chromium-Android","Chromium Android Browser Source for Android Studio","[""android"",""android-studio"",""browser"",""chromium"",""android-browser""]"
"blazsolar/android-collapse-calendar-view","Android calendar view that can be toggled between week and month view.","[""android"",""calendar"",""view"",""android-calendar""]"
"panhongwei/AndroidMethodHook","android art hook like Sophix","[""android"",""hook"",""art""]"
"PhilippeBoisney/OpenClassrooms---Parcours-Android","Ensemble de documents & mini-projets réalisés durant la formation diplômante d'un an OpenClassrooms (DÉVELOPPEUR·SE D'APPLICATION - ANDROID)","[]"
"Angads25/android-filepicker","Selecting directories/files made a lot easier.","[]"
"Tutorialindustry/Android","Android Tutorial resources","[""android"",""resources"",""tutorial"",""android-tutorial""]"
"CJT2325/CameraView","仿微信拍照Android控件（轻触拍照，长按摄像）","[]"
"artem-zinnatullin/qualitymatters","Android Development Culture","[""android"",""development"",""android-development""]"
"IamXiaRui/Android_5.0_ViewDemo","一些基于 Android 5.0/6.0/N 新特性的小案例","[""android""]"
"ScottyBauer/Android_Kernel_CVE_POCs","A list of my CVE's with POCs","[""list""]"
"xm0625/VBrowser-Android","全网视频嗅探缓存APP","[]"
"liaohuqiu/android-GridViewWithHeaderAndFooter","A GridView which can addHeaderView and addFooterView","[""gridview""]"
"phishman3579/android-heart-rate-monitor","Android heart rate monitor","[""android"",""monitor"",""heart-rate-monitor"",""heart""]"
"Chion82/WeChatMomentStat-Android","Get your WeChat Moment statistics and export Moments to JSON. 微信朋友圈数据统计、导出工具","[""get"",""export"",""wechat""]"
"garretyoder/Colorful","Android runtime theme library","[""android"",""android-runtime"",""runtime"",""library"",""theme""]"
"guohuanwen/AndroidLoadingAnimation","many loading animations,TaiJi or windows or...(各种android加载动画)","[""loading"",""windows""]"
"chrislacy/TweetLanes","Tweet Lanes for Android","[""android""]"
"sszhangpengfei/AndroidShow","通过MediaProjectionManager采集android屏幕视频流，app中搭建简单rtsp server与客户端通信，通过rtp 协议传输视频流，vlc等客户端来观看手机的屏幕实时视频","[]"
"crmulliner/adbi","Android Dynamic Binary Instrumentation Toolkit  ","[""android"",""dynamic"",""instrumentation"",""binary""]"
"Rano1/Interactive-animation","Collect android animation","[""android"",""animation"",""android-animation""]"
"renard314/textfairy","Android OCR App","[""android"",""ocr"",""app""]"
"googlearchive/android-AutofillFramework","Migrated:","[]"
"spex66/RTSP-Camera-for-Android","Android based RTSP Server which is able to serve live camera view to multiple RTSP clients, such as VLC.","[""android"",""camera"",""view"",""server"",""rtsp"",""live""]"
"MasonLiuChn/AndroidUltimateEncrypt","AndroidUltimateEncrypt AndroidJNI Encrypt ，运用JNI读取公钥、包名、设备号，然后把结果进行自定义加密，得到一个密码，可以将该密码作为AES的密钥。","[]"
"geeeeeeeeek/WeChatLuckyMoney",":money_with_wings: WeChat's lucky money helper (微信抢红包插件) by Zhongyi Tong. An Android app that helps you snatch red packets in WeChat groups. ","[""android"",""wechat"",""app"",""android-app"",""lucky-money"",""lucky""]"
"guardianproject/android-ffmpeg-java","Android Java wrapper around ffmpeg command line binary","[""java"",""android"",""line"",""ffmpeg"",""command-line"",""binary"",""command"",""ffmpeg-command"",""wrapper""]"
"JZXiang/TimePickerDialog","An Android time picker library.","[""android"",""time"",""picker""]"
"HelloHuDi/AndroidReverseNotes","Android逆向笔记---从入门到入土","[]"
"jiayy/android_vuln_poc-exp","This project contains pocs and exploits for vulneribilities I found (mostly)","[""project"",""this"",""contains""]"
"oxoooo/mr-mantou-android","On the importance of taste","[]"
"lewismcgeary/AndroidtoAppleVectorLogo","An Android app demoing pathmorphing with AnimatedVectorDrawables","[""android"",""app"",""android-app""]"
"TangXiaoLv/Android-Easy-MultiDex","[Deprecated] Android，multidex，splitdex，分包插件","[]"
"Ramotion/fluid-slider-android",":octocat:💧 A slider widget with a popup bubble displaying the precise value selected. Android library made by @Ramotion","[""android"",""widget"",""popup"",""android-library"",""slider"",""library""]"
"navyifanr/AndroidTrainingDemo","android training demo","[""android"",""training"",""demo""]"
"Glucosio/glucosio-android","Glucosio Android App","[""android"",""app"",""android-app""]"
"ilanyu/ReverseProxy-Android","ReverseProxy-Android","[]"
"klinker24/Android-TextView-LinkBuilder","Insanely easy way to define clickable links within a TextView.","[""clickable"",""clickable-links"",""easy""]"
"CyanogenMod/android_device_oneplus_bacon","OnePlus One device configuration (bacon)","[""configuration"",""device""]"
"oNaiPs/droidVncServer","VNC server for Android devices.","[""android"",""server""]"
